agency,url,type,pricing_model,focus,platforms,references,conditions,followers,status,description,notes,departments,legal_form,location,country,founding_year,source_urls,checked_at,verified_fields
SheX Agency,https://www.she-x.de/,unknown,unknown,"Creator Management, Adult Content","OnlyFans, Maloum, 4based, BestFans, Fancentro",,,,unknown,"Management und Marketing für Creator auf Abo- und Adult-Plattformen, mit Content-Wiederverwendung und Leak-Entfernung.",,,,Hamburg (Kontaktanschrift),DE,,https://www.she-x.de/en|https://www.she-x.de/en/impressum,2026-09-11,"agency, url, focus, description, location, country, platforms"
Kingfluencers,https://www.kingfluencers.com/,unknown,unknown,"Influencer Marketing, Social Media, Strategie",,,,,unknown,"Schweizer Agentur für Influencer Marketing, Social-Media- und Kreativberatung.",,,,Zürich,CH,,https://www.kingfluencers.com/,2026-09-11,"agency, url, focus, description, location, country"
We Are Social,https://wearesocial.com/de/,unknown,unknown,"Social Media, Content-Produktion, Gaming, Strategie",,,,,unknown,"Internationale Kreativagentur für Strategie, Kreation, Produktion, Paid Media und Live-Formate.",,,,"München, Berlin",DE,,https://wearesocial.com/de/services/|https://wearesocial.com/de/contact-us/,2026-09-11,"agency, url, focus, description, location, country"
Likeyaa,https://likeyaa.com/,unknown,unknown,"Influencer Marketing, Social Media, Strategie",,,,,unknown,"Social-Media- und Influencer-Marketing-Agentur für Strategie, Kreation, Kampagnen und datenbasierte Auswertung.",,,,Dortmund,DE,,https://likeyaa.com/|https://likeyaa.com/agency/,2026-09-11,"agency, url, focus, description, location, country"
Fairplay Management,https://fairplay-management.de/,unknown,unknown,"Creator Management, Gaming, Sport",,,,,unknown,"Creator Management, Social Media und Twitch-Marketing mit Gaming, Fußball, Motorsport und NFL.",,,,Kiel,DE,,https://fairplay-management.de/,2026-09-11,"agency, url, focus, description, location, country"
Ciberdime,https://www.ciberdime.com/en,unknown,unknown,"Creator Management, Gaming, Cosplay",,,,,unknown,"Talent- und Influencer Management, Kampagnen und Liveproduktionen mit Gaming- und Cosplay-Schwerpunkt.",,,,,unknown,,https://www.ciberdime.com/en,2026-09-11,"agency, url, focus, description"
Glowstaff,https://glowstaff.de/,unknown,unknown,"Influencer Marketing, Creator-Vermittlung","Instagram, TikTok, YouTube",,,,unknown,"Creator-Vermittlung und Full-Service-Influencer-Kampagnen; außerdem Vermittlung von Models, Hosts und Promotionpersonal.",,,,Köln,DE,,https://glowstaff.de/content-creator-agentur/|https://glowstaff.de/en/imprint/,2026-09-11,"agency, url, focus, description, location, country, platforms"
lookfamed,https://lookfamed.de/,unknown,unknown,"Influencer Marketing, Creator Management, Content-Produktion","Instagram, Pinterest, TikTok, LinkedIn, YouTube, Twitch",,,,unknown,"Agentur für Creator Management, Content Creation und die Auswahl von Creatorn für Marken.",,,,Göttingen,DE,,https://lookfamed.de/|https://lookfamed.de/impressum/,2026-09-11,"agency, url, focus, description, location, country, platforms"
ALPHA POOL,https://www.alphapool.com/,unknown,unknown,"Kommunikation, Social Media, Influencer Marketing",,,,,unknown,"Full-Service-Marketing, Kommunikation sowie Influencer- und Celebrity-Marketing.",,,,Berlin,DE,,https://www.alphapool.com/3600-fuer-Unternehmen/|https://www.alphapool.com/Informationen/Impressum/,2026-09-11,"agency, url, focus, description, location, country"
Das Kartell,https://das-kartell.net/,unknown,unknown,"Events, Social Media, Content-Produktion",,,,,unknown,"Kampagnen, Markenerlebnisse, Influencer Relations, Content- und Community-Management sowie Künstlervermittlung.",,,,Berlin,DE,,https://das-kartell.net/,2026-09-11,"agency, url, focus, description, location, country"
BUZZINTALENTS,https://buzzintalents.de/,unknown,unknown,"Influencer Marketing, UGC, Performance Marketing",,,,,unknown,"Influencer-Kampagnen, Creator-Auswahl, Kampagnenmanagement und Tracking für Unternehmen. Laut eigener Website keine Talent-Management-Agentur.",,,,Stuttgart,DE,,https://buzzintalents.de/|https://buzzintalents.de/impressum-buzzintalents/,2026-09-11,"agency, url, focus, description, location, country"
Schach zu Dritt,https://schachzudritt.de/de,unknown,unknown,"Kommunikation, Events, Content-Produktion, Social Media",,,,,unknown,"Kommunikationsagentur für Marken- und Live-Kommunikation, Kampagnen und Content.",,,,Berlin,DE,,https://schachzudritt.de/de,2026-09-11,"agency, url, focus, description, location, country"
MYI Agency,https://myi.agency/,unknown,unknown,"Gaming, Esports, Cosplay",,,,,unknown,"Agentur für Markenkommunikation rund um Gaming, Esports und Nerdkultur.",,,,"Zürich, Korntal-Münchingen","CH, DE",,https://myi.agency/|https://myi.agency/kontakt/,2026-09-11,"agency, url, focus, description, location, country"
FOLLOW AUSTRIA,https://www.followaustria.com/,unknown,unknown,"Influencer Marketing, Social Media, Creator Management",,,,,unknown,Social-Media- und Influencer-Agentur mit eigenem Follow Agency Management (FAM).,,,,Wien,AT,,https://www.followaustria.com/,2026-09-11,"agency, url, focus, description, location, country"
aime (vormals Con Evo),https://www.aime.digital/,unknown,unknown,"Influencer Marketing, Social Media, Performance Marketing",,,,,unknown,"Digitalmarketing-Agentur für Content, Social Media und Performance. Die frühere Website bestätigt das Rebranding von Constant Evolution zu aime.",,,,"Wien, Berlin","AT, DE",,https://www.con-evo.com/influencer-marketing/|https://www.aime.digital/,2026-09-11,"agency, url, focus, description, location, country"
Fullstop PR,https://www.fullstoppr.com/,unknown,unknown,"PR, Kommunikation, Social Media, Events",,,,,unknown,"PR und Unternehmenskommunikation, Social-Media-Beratung, Influencer-Kooperationen und Eventmanagement.",,,,"Berlin, München, Wien","DE, AT",,https://www.fullstoppr.com/|https://www.fullstoppr.com/services/|https://www.fullstoppr.com/kontakt/,2026-09-11,"agency, url, focus, description, location, country"
SWISSPER,https://swissper.ch/,unknown,unknown,"Influencer Marketing, Social Media, Content-Produktion",,,,,unknown,"Social-Media-Strategie, Content, Influencer-Kampagnen und Mediaplanung.",,,,"Schlieren, Lausanne",CH,,https://swissper.ch/|https://swissper.ch/impressum,2026-09-11,"agency, url, focus, description, location, country"
House of Influence,https://www.house-of-influence.ch/,unknown,unknown,"Influencer Marketing, Social Media, Strategie","Instagram, TikTok, LinkedIn, YouTube",,,,unknown,Schweizer Beratungs- und Kampagnenagentur für Influencer Marketing und Social Media.,,,,Zürich,CH,,https://www.house-of-influence.ch/,2026-09-11,"agency, url, focus, description, location, country, platforms"
Headz Agency,https://www.headz-agency.ch/,unknown,unknown,"Creator Management, Influencer Marketing, Content-Produktion",,,,,unknown,"Creator-, Influencer- und Artist-Management, Social-Media- und Paid-Kampagnen sowie Beratung.",,,,Winterthur,CH,,https://www.headz-agency.ch/,2026-09-11,"agency, url, focus, description, location, country"
Reachbird,https://www.reachbird.io/de,unknown,unknown,"Influencer Marketing, UGC, Performance Marketing",,,,,unknown,"Influencer-Marketing-Agentur mit Kampagnenmanagement, Social Ads, B2B-Angeboten und eigener Plattform RTECH.",,,,München,DE,,https://www.reachbird.io/de,2026-09-11,"agency, url, focus, description, location, country"
ChannelBuzz,https://channelbuzz.de/,unknown,unknown,"Influencer Marketing, B2B, Kampagnen",,,,,unknown,Full-Service-Influencer-Kampagnen für B2C und B2B sowie Software für selbst gesteuerte Kampagnen.,,,,Esslingen,DE,,https://channelbuzz.de/|https://channelbuzz.de/impressum/,2026-09-11,"agency, url, focus, description, location, country"
Buzzbird,https://www.studio71.de/clients/,unknown,unknown,Influencer Marketing,,,,,unknown,"Historisch als Influencer-Marketing-Division von Studio71 dokumentiert. Die frühere Website führt zum Studio71-Angebot, das aktuell NEXT.GEN Advertising heißt.",Historischer Markenname; kein zusätzliches unabhängiges Agenturunternehmen. Die Beschreibung folgt der aktuellen Zielseite der Weiterleitung.,,,,unknown,,https://www.buzzbird.de/|https://www.studio71.de/clients/|https://www.seven.one/documents/20182/8623765/Trendreport_Influencer_Marketing_2025_Studio71_Buzzbird.pdf,2026-09-12,"url, focus, description"
rock&stars digital,https://rockandstars.de/,unknown,unknown,"Digitalmarketing, Strategie, Kreation, Performance Marketing",,,,,unknown,"Hamburger Digitalmarketing-Agentur für Strategie, Kreation, Performance und KI-gestützte Marketing-Systeme.",Redaktionelle Namens- und Domainkorrektur anhand des offiziellen Auftritts. Eine Weiterleitung der zuvor eingetragenen Domain rockandstar.de ist nicht belegt.,,,Hamburg,DE,,https://rockandstars.de/|https://rockandstars.de/full-service/,2026-09-12,"agency, url, focus, description, location, country"
influence.vision,https://www.influencevision.com/en/,unknown,unknown,"Influencer Marketing, Plattform, Performance Marketing",,,,,unknown,"Influencer-Marketing-Plattform mit eigener Full-Service-Agentur für Creator-Auswahl und Buchung, Kampagnensteuerung und Reporting.",,,,"Wien, Köln","AT, DE",,https://www.influencevision.com/en/|https://www.influencevision.com/en/about/|https://agency.influencevision.com/who-we-are,2026-09-11,"agency, url, focus, description, location, country"
PURE4U,https://pure4u.de/,unknown,unknown,"Creator Management, Gaming, Cosplay, VTubing",,,,,unknown,Creator Management für Streaming und digitale Inhalte; Unterstützung bei Kanalentwicklung und Kooperationen.,,,,,unknown,,https://pure4u.de/,2026-09-11,"agency, url, focus, description"
NextLevelNation,https://www.nextlevelnation.de/,unknown,unknown,"Streaming, Gaming, Esports, Events","Twitch, YouTube, Kick, TikTok",,,,unknown,"Agentur und Netzwerk für Streamer, ausdrücklich auch für kleinere Kanäle. Weitere Angebote umfassen Merchandise und Impressumservice.",,,,Ehingen (Donau),DE,,https://www.nextlevelnation.de/|https://www.nextlevelnation.de/impressum/,2026-09-11,"agency, url, focus, description, location, country, platforms"
Digital Ninjas,https://digital-ninjas.de,unknown,unknown,"Gaming, Influencer Marketing, Live-Streaming",,,,,unknown,Digital Ninjas ist als Gaming- und Influencer-Marketing-Marke von brand and heist durch deren Kooperationspartner Medialuchs dokumentiert. Der heutige Agenturbetrieb ist nicht bestätigt.,Historischer Anbieterbeleg: Die frühere Domain digitalninjas.de enthält inzwischen Casino-Inhalte und ist kein bestätigter Agenturauftritt. Auch die bisher eingetragene Variante digital-ninjas.de ist nicht bestätigt. Daher kein Website-Link.,,,,unknown,,https://www.medialuchs.de/influencer-marketing.html,2026-09-12,"agency, focus, description"
Next Level Creators,https://nextlevelcreators.de,unknown,unknown,,,,,,unknown,Identität des ursprünglichen Eintrags weiterhin ungeklärt. Keine bestätigte Agenturwebsite.,"Ein deutschsprachiger Anbieter auf next-level-creators.com nennt im Impressum eine LLC in Sheridan, USA. Daneben existieren gleichnamige Weiterbildungsangebote. Eine Verbindung zum bisherigen Eintrag nextlevelcreators.de ist nicht belegt; deshalb keine Übernahme.",,,,unknown,,,,
NINJAPIRATEN,https://ninjapiraten.de/,unknown,unknown,"Social Media, Content-Produktion, Performance Marketing",,,,,unknown,"Digitale Marketingagentur für Webdesign, E-Commerce, Markenstrategie, Content und Paid Social.",,,,Lübeck,DE,,https://ninjapiraten.de/,2026-09-11,"agency, url, focus, description, location, country"
Streamboost,https://streamboost.de/,unknown,unknown,"AdTech, Streaming, Kampagnen",,,,,unknown,AdTech-Plattform für InStream-Werbung und Kampagnensteuerung. Das Angebot richtet sich an Werbekunden und Streamer; kein klassisches Talentmanagement.,,,,,unknown,,https://streamboost.de/,2026-09-11,"agency, url, focus, description"
Ad Specialist,https://www.adspecialist.de/,unknown,unknown,"Influencer Marketing, Performance Marketing, E-Commerce",,,,,unknown,"Datenorientiertes Influencer Marketing für E-Commerce- und Consumer-Marken, einschließlich Twitch-Kampagnen.",,,,Königswinter,DE,,https://www.adspecialist.de/en/|https://www.adspecialist.de/en/channel-twitch/|https://www.adspecialist.de/impressum/,2026-09-11,"agency, url, focus, description, location, country"
CM Creator,https://cmxcreator.de/,unknown,unknown,"Influencer Marketing, UGC, Paid Social",,,,,unknown,"Agentur für Influencer Marketing, UGC- und Content-Produktion sowie Paid Social und Strategie.",,,,,unknown,,https://cmxcreator.de/,2026-09-11,"agency, url, focus, description"
Secret Unicorn Agency,https://secret-unicorn.agency/,unknown,unknown,"Creator Management, Gaming, PR",,,,,unknown,"Creator Management und Indie-Game-Marketing mit Games-PR, Creator-Matching und Launch-Planung.",,,,Freiburg,DE,,https://secret-unicorn.agency/,2026-09-11,"agency, url, focus, description, location, country"
2nd Wave,https://2ndwave.rocks/,unknown,unknown,"Creator Management, Influencer Marketing, Social Media, Content-Produktion, Events","YouTube, Instagram, Twitch, X, TikTok",,,,unknown,"Agentur für Künstlermanagement, Social-Media-Strategien, kreative Konzepte, Produktion sowie Projekt- und Eventmanagement.",,,GmbH,Berlin,DE,,https://2ndwave.rocks/,2026-09-12,"agency, url, focus, platforms, description, legal_form, location, country"
NewBasement,https://newbasement.de,unknown,unknown,,,,,,unknown,Identität des ursprünglichen Agentureintrags weiterhin ungeklärt. Keine bestätigte Agenturwebsite.,Die bisherige Domain newbasement.de führt am 12.09.2026 auf eine Verkaufsseite. Das ähnlich benannte Musiklabel New Basement wird nicht als Ersatz zugeordnet. Ein Domainverkauf belegt keine Unternehmensschließung.,,,,unknown,,,,
